description,title,tooltip,url
Früher wurde das Hürlimann Bier noch mit dem Pferdewagen gebracht. Der Beruf des Bier-Fuhrmanns ist kein 08/15-Job. [«Treffpunkt» vom 4. April 1991],Brauerei-Pferde (1991),"Brauerei-Pferde (1991).
  Video
  Archivperlen
  gestern
  22:00 Uhr,
  10 Min",/play/tv/archivperlen/video/brauerei-pferde-1991?urn=urn:srf:video:dd8ec2f9-a190-48c2-9732-51726a5af73a
"Ruth Vonier hat im Niederdorf über mehrere Jahre defekte Lautsprecher von Privat-Kundinnen und -Kunden, der SBB und berühmten Musikerinnen und Musiker repariert. Insbesondere die Männer staunten jeweils nicht schlecht, wenn ihre Lautsprecher nach der Reparatur bei Frau Vonier noch besser klangen als",Was wurde aus der Lautsprecherreparateurin?,"Was wurde aus der Lautsprecherreparateurin?.
  Video
  Archivperlen
  15.09.2021
  22:00 Uhr,
  4 Min",/play/tv/archivperlen/video/was-wurde-aus-der-lautsprecherreparateurin?urn=urn:srf:video:5b52c4a7-ad55-41ac-a31c-910a31a253ee
"Ab auf den Säntis geht’s für diese Schulklasse auf die Schulreise. Wohlverdient ist der Cervelat nach dem mühevollen Aufstieg! [«Schulfernsehen», 6. Juni 1969]",Schulreise auf den Säntis (1969),"Schulreise auf den Säntis (1969).
  Video
  Archivperlen
  09.09.2021
  22:00 Uhr,
  3 Min",/play/tv/archivperlen/video/schulreise-auf-den-saentis-1969?urn=urn:srf:video:1532dcb9-77b3-467c-a94f-082534ec7305
"Der Computer hält Einzug in den Büroalltag und verändert die Arbeitswelt. Ein Arbeitspsychologe beantwortet Fragen und KV-Lernende wagen Zukunftsvisionen, wie der Computer die Arbeit im Büro verändern wird. Wird der Computer die totale Kontrolle übernehmen? Oder, wie wird das Homeoffice im Jahr 2000",Der Computer im Büroalltag (1985),"Der Computer im Büroalltag (1985).
  Video
  Archivperlen
  07.09.2021
  22:00 Uhr,
  43 Min",/play/tv/archivperlen/video/der-computer-im-bueroalltag-1985?urn=urn:srf:video:6c01f556-555b-4bc8-a088-fb091d5dcefd
"Als unsere Moderator*innen klein waren: Hier kommen ihre Highlights aus Kindertagen. Moderatorin Christina Lang war Fan von Grell-Pastell mit Kurt Aeschbacher. [«Grell-Pastell» 1988, 1989]",Mini Archivperle mit Christina Lang,"Mini Archivperle mit Christina Lang.
  Video
  Archivperlen
  06.09.2021
  22:00 Uhr,
  3 Min",/play/tv/archivperlen/video/mini-archivperle-mit-christina-lang?urn=urn:srf:video:c565664f-e8b0-40c3-a6c4-e661133ac95a
Der Einsatz von Pferdestärke in der Schweizer Landwirtschaft ist vielfältig. Leistungsstarke Landmaschinen wie der Traktor verdrängen aber das Pferd als Arbeitstier. [«Mitenand übers Land - Strigle und gschire» vom 24. April 1983],Das Pferd als Arbeitstier (1983),"Das Pferd als Arbeitstier (1983).
  Video
  Archivperlen
  03.09.2021
  22:00 Uhr,
  25 Min",/play/tv/archivperlen/video/das-pferd-als-arbeitstier-1983?urn=urn:srf:video:efb2e9ff-759a-4424-9fba-a0bd7aa4ba05
"Die Zukunft war gestern: Das Roboter-Kabinett von Jaquet-Droz («Schweizer Filmwochenschau», 27.Januar 1950)",Die androiden Automaten,"Die androiden Automaten.
  Video
  Archivperlen
  30.08.2021
  22:00 Uhr,
  2 Min",/play/tv/archivperlen/video/die-androiden-automaten?urn=urn:srf:video:406de2f3-5f0c-4aa3-94f4-86822a3f91dc
"Das ist ein gefährlicher Streich, den die Lausbuben Fritz und Franz ausgeheckt haben. [«Für unsere jungen Zuschauer: Lausbubengeschichten» vom  21. September 1961]",Lausbuben Fritz und Franz (1961),"Lausbuben Fritz und Franz (1961).
  Video
  Archivperlen
  06.08.2021
  22:00 Uhr,
  3 Min",/play/tv/archivperlen/video/lausbuben-fritz-und-franz-1961?urn=urn:srf:video:59b65073-e079-4a12-b063-b926c0224a98
"Die Doku begleitet junge Schweizer Touristen, Tramps und Hippies 1973 auf ihrer Reise nach Asien entlang dem Hippie-Trail. Stationen sind die Türkei, Afghanistan, Indien und Nepal [«Ausreisen, Ausreissen: Junge Schweizer auf dem Guru-Trip » vom 23. Oktober 1973]",Unterwegs auf dem Hippie-Trail (1973),"Unterwegs auf dem Hippie-Trail (1973).
  Video
  Archivperlen
  04.08.2021
  22:00 Uhr,
  59 Min",/play/tv/archivperlen/video/unterwegs-auf-dem-hippie-trail-1973?urn=urn:srf:video:e3058d96-8622-4123-9e84-b9b5c946c40e
Wie entstand 1971 eine Abendzeitung? Der Film begleitet die Redaktion des Berner Tagblatts während einem Tag beim Erstellen der neuesten Ausgabe der Zeitung. [«Wie eine Zeitung entsteht» vom 17. Mai 1971],Wie eine Zeitung entsteht (1971),"Wie eine Zeitung entsteht (1971).
  Video
  Archivperlen
  04.08.2021
  22:00 Uhr,
  26 Min",/play/tv/archivperlen/video/wie-eine-zeitung-entsteht-1971?urn=urn:srf:video:345b162a-cc66-4b26-922c-73a249cdc80f
